Runde 1 - gestartet um 2024-06-01 13:11:39.008755025 +02:00 - beendet um 2024-06-01 13:11:44.031627978 +02:00:
Lamportzeit zu Rundenstart: 1 und zu Rundenende: 598
Spieler_812 hat eine 38 gewürfelt! (START-Nachricht erhalten: 13:11:39.20269, Antwort gesendet: 13:11:41.20417, Lamport-Zeit: 2)
Spieler_808 hat eine 91 gewürfelt! (START-Nachricht erhalten: 13:11:39.20212, Antwort gesendet: 13:11:42.20366, Lamport-Zeit: 2)
Spieler_252 hat eine 47 gewürfelt! (START-Nachricht erhalten: 13:11:39.12338, Antwort gesendet: 13:11:42.12492, Lamport-Zeit: 2)
Spieler_335 hat eine 17 gewürfelt! (START-Nachricht erhalten: 13:11:39.13436, Antwort gesendet: 13:11:39.13548, Lamport-Zeit: 2)
Spieler_864 hat eine 88 gewürfelt! (START-Nachricht erhalten: 13:11:39.21135, Antwort gesendet: 13:11:39.21229, Lamport-Zeit: 2)
Spieler_192 hat eine 62 gewürfelt! (START-Nachricht erhalten: 13:11:39.11512, Antwort gesendet: 13:11:40.11683, Lamport-Zeit: 2)
Spieler_861 hat eine 63 gewürfelt! (START-Nachricht erhalten: 13:11:39.21094, Antwort gesendet: 13:11:40.21253, Lamport-Zeit: 2)
Spieler_551 hat eine 91 gewürfelt! (START-Nachricht erhalten: 13:11:39.16456, Antwort gesendet: 13:11:39.16551, Lamport-Zeit: 2)
Spieler_370 hat eine 27 gewürfelt! (START-Nachricht erhalten: 13:11:39.13909, Antwort gesendet: 13:11:40.14100, Lamport-Zeit: 2)
Spieler_882 hat eine 41 gewürfelt! (START-Nachricht erhalten: 13:11:39.21401, Antwort gesendet: 13:11:40.21540, Lamport-Zeit: 2)
Spieler_619 hat eine 97 gewürfelt! (START-Nachricht erhalten: 13:11:39.17401, Antwort gesendet: 13:11:41.17554, Lamport-Zeit: 2)
Spieler_457 hat eine 3 gewürfelt! (START-Nachricht erhalten: 13:11:39.15150, Antwort gesendet: 13:11:40.15313, Lamport-Zeit: 2)
Spieler_735 hat eine 37 gewürfelt! (START-Nachricht erhalten: 13:11:39.19065, Antwort gesendet: 13:11:42.19219, Lamport-Zeit: 2)
Spieler_749 hat eine 54 gewürfelt! (START-Nachricht erhalten: 13:11:39.19296, Antwort gesendet: 13:11:42.19451, Lamport-Zeit: 2)
Spieler_688 hat eine 38 gewürfelt! (START-Nachricht erhalten: 13:11:39.18460, Antwort gesendet: 13:11:43.18629, Lamport-Zeit: 2)
Spieler_309 hat eine 54 gewürfelt! (START-Nachricht erhalten: 13:11:39.13099, Antwort gesendet: 13:11:44.13252, Lamport-Zeit: 2)
Spieler_760 hat eine 52 gewürfelt! (START-Nachricht erhalten: 13:11:39.19463, Antwort gesendet: 13:11:43.19646, Lamport-Zeit: 2)
Spieler_577 hat eine 27 gewürfelt! (START-Nachricht erhalten: 13:11:39.16821, Antwort gesendet: 13:11:44.16973, Lamport-Zeit: 2)
Spieler_752 hat eine 33 gewürfelt! (START-Nachricht erhalten: 13:11:39.19339, Antwort gesendet: 13:11:44.19490, Lamport-Zeit: 2)
Spieler_652 hat eine 40 gewürfelt! (START-Nachricht erhalten: 13:11:39.17913, Antwort gesendet: 13:11:39.17993, Lamport-Zeit: 2)
Spieler_608 hat eine 32 gewürfelt! (START-Nachricht erhalten: 13:11:39.17253, Antwort gesendet: 13:11:43.17408, Lamport-Zeit: 2)
Spieler_37 hat eine 30 gewürfelt! (START-Nachricht erhalten: 13:11:39.9345, Antwort gesendet: 13:11:43.9525, Lamport-Zeit: 2)
